type,formalTyping,code,type1,type2
PERATURAN DAERAH PROVINSI MALUKU,Peraturan Daerah Provinsi Maluku,Perprov_Maluku,ProvincialRegulation,Lembaran_Daerah_Provinsi_Maluku
PERATURAN SEKRETARIS JENDERAL OMBUDSMAN REPUBLIK INDONESIA,Peraturan Sekretaris Jenderal Ombudsman Republik Indonesia,Peraturan_Ombudsman,AgencyRegulation,Berita_Negara
PERATURAN PEMERINTAH PRESIDEN REPUBLIK INDONESIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN BADAN NASIONAL PENGELOLA PERBATASAN,Peraturan Badan Nasional Pengelola Perbatasan Republik Indonesia,Peraturan_BNPP,AgencyRegulation,Berita_Negara
PERATURAN MENTERI PEMBANGUNAN DAERAH TERTINGGAL,Peraturan Menteri Pembangunan Daerah Tertinggal Republik Indonesia,Permen_PDT,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI DAERAH IST IMEWA ACEH,Peraturan Daerah Provinsi Aceh,Perprov_Aceh,ProvincialRegulation,Lembaran_Daerah_Provinsi_Aceh
PERATURAN DAERAH PROVINSI SULAWESI UTARA,Peraturan Daerah Provinsi Sulawesi Utara,Perprov_Sulut,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sulawesi_Utara
PERATURAN DAERAH KABUPATEN BATU BARA,Peraturan Daerah Kabupaten Batu Bara,Perkab_Batu_Bara,RegencyRegulation,Lembaran_Daerah_Kabupaten_Batu_Bara
PERATURAN DAERAH SAMPANG,Peraturan Daerah Kabupaten Sampang,Perkab_Sampang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sampang
PERATURAN DAERAH KABUPATEN LINGGA,Peraturan Daerah Kabupaten Lingga,Perkab_Lingga,RegencyRegulation,Lembaran_Daerah_Kabupaten_Lingga
PERATURAN DAERAH PROVINSI SUMATERA SELATAN,Peraturan Daerah Provinsi Sumatera Selatan,Perprov_Sumsel,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sumatera_Selatan
PERATURAN DAMAN PROPINSI SUMATERA BARAT,Peraturan Daerah Provinsi Sumatera Barat,Perprov_Sumbar,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sumatera_Barat
PERATURAN DAERAH KEBUPATEN KEBUMEN,Peraturan Daerah Kabupaten Kebumen,Perkab_Kebumen,RegencyRegulation,Lembaran_Daerah_Kabupaten_Kebumen
PERATURAN DAERAH KABUPATEN KEBUMEN,Peraturan Daerah Kabupaten Kebumen,Perkab_Kebumen,RegencyRegulation,Lembaran_Daerah_Kabupaten_Kebumen
PERATURAN MENTERI PERENCANAAN PEMBANGUNAN NASIONAL/ KEPALA BADAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA,Peraturan Menteri Perencanaan Pembangunan Nasional/ Kepala Badan Perencanaan Pembangunan Nasional Republik Indonesia,Permen_Bappenas,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROPINSIDAERAH ISTIMEWAACEH,Peraturan Daerah Provinsi Aceh,Perprov_Aceh,ProvincialRegulation,Lembaran_Daerah_Provinsi_Aceh
PERATURAN KEPALA BADAN NASIONAL PENANGGULANGAN TERORISME REPUBLIK INDONESIA,Peraturan Badan Nasional Penanggulangan Terorisme Republik Indonesia,Peraturan_BNPT,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI ISTIMEWA ACEH,Peraturan Daerah Provinsi Aceh,Perprov_Aceh,ProvincialRegulation,Lembaran_Daerah_Provinsi_Aceh
PERATURAN MENTERI KEBUDAYAAN DAN PARIWISATA REPUBLIK INDONESIA,Peraturan Menteri Kebudayaan Dan Pariwisata Republik Indonesia,Permen_Budpar,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN HULU SUNGAI SELATAN,Peraturan Daerah Kabupaten Hulu Sungai Selatan,Perkab_Hulu_Sungai_Selatan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Hulu_Sungai_Selatan
PERATURAN DAERAH KABUPATEN CIREBON,Peraturan Daerah Kabupaten Cirebon,Perkab_Cirebon,RegencyRegulation,Lembaran_Daerah_Kabupaten_Cirebon
PERATURAN DAERAH PROVINSI BALI,Peraturan Daerah Provinsi Bali,Perprov_Bali,ProvincialRegulation,Lembaran_Daerah_Provinsi_Bali
PERATURAN MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDON ESIA,Peraturan Menteri Hukum Dan Hak Asasi Manusia Republik Indonesia,Permen_Humham,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI KALIMANTAN SELATAN,Peraturan Daerah Provinsi Kalimantan Selatan,Perprov_Kalsel,ProvincialRegulation,Lembaran_Daerah_Provinsi_Kalimantan_Selatan
PERATURAN PEMERINTAH DAERAH TINGKAT II TANGGAMUS,Peraturan Daerah Kabupaten Tanggamus,Perkab_Tanggamus,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tanggamus
PERATURAN MENTERI PERHUBUNGAN REPUBLIK INDONESIA REPUBLIK INDONESIA,Peraturan Menteri Perhubungan Republik Indonesia,Permen_Hub,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN MELAWI,Peraturan Daerah Kabupaten Melawi,Perkab_Melawi,RegencyRegulation,Lembaran_Daerah_Kabupaten_Melawi
PERATURAN KEPALA BADAN KEAMANAN LAUT,Peraturan Badan Keamanan Laut Republik Indonesia,Peraturan_Bakamla,AgencyRegulation,Berita_Negara
"PERATURAN BADAN EKONOMI KREATIF REPUBLIK INDONESIA,",Peraturan Badan Ekonomi Kreatif Republik Indonesia,Peraturan_Bekraf,AgencyRegulation,Berita_Negara
PERATURANKEPALA BADAN TENAGA NUKLIR NASIONAL REPUBLIK INDONESIA,Peraturan Badan Tenaga Nuklir Nasional Republik Indonesia,Peraturan_Batan,AgencyRegulation,Berita_Negara
PERATURAN KEPALA BADAN PENGAWAS PERDAGANGAN BERJANGKA KOMODITI,Peraturan Badan Pengawas Perdagangan Berjangka Komoditi Republik Indonesia,Peraturan_Bappebti,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BENGKAYANG,Peraturan Daerah Kabupaten Bengkayang,Perkab_Bengkayang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bengkayang
PERATURAN DAERAH KOTA TARAKAN,Peraturan Daerah Kota Tarakan,Perkot_Tarakan,MunicipalityRegulation,Lembaran_Daerah_Kota_Tarakan
PERATURAN DAERAH KABUPATEN MAGELANG,Peraturan Daerah Kabupaten Magelang,Perkab_Magelang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Magelang
PERATURAN DAERAH KABUPATEN CILACAP,Peraturan Daerah Kabupaten Cilacap,Perkab_Cilacap,RegencyRegulation,Lembaran_Daerah_Kabupaten_Cilacap
PERATURAN DAERAH KOTA PAYAKUMBUH,Peraturan Daerah Kota Payakumbuh,Perkot_Payakumbuh,MunicipalityRegulation,Lembaran_Daerah_Kota_Payakumbuh
PERATURAN KEPALA BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Peraturan Badan Pengawasan Keuangan Dan Pembangunan Republik Indonesia,Peraturan_BPKP,AgencyRegulation,Berita_Negara
PERATURAN WALIKOTA TANGERANG,Peraturan Walikota  Tangerang,Perwali_Tangerang,MayorRegulation,Berita_Daerah_Kota_Tangerang
PERATURAN MENTERI PERUMAHAN RAKYAT REPUBLIK INDONESIA SELAKU KETUA HARIAN BADAN PERTIMBANGAN TABUNGAN PERUMAHAN PEGAWAI NEGERI SIPIL,Peraturan Menteri Perumahan Rakyat Republik Indonesia,Permen_PR,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI BALI,Peraturan Daerah Provinsi Bali,Perprov_Bali,ProvincialRegulation,Lembaran_Daerah_Provinsi_Bali
PERATURAN DAERAH KABUPATEN TOJO UNA-UNA,Peraturan Daerah Kabupaten Tojo Una Una,Perkab_Tojo_Una_Una,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tojo_Una_Una
PERATURAN MENTERI PENDIDIKAN NASIONAL,Peraturan Menteri Pendidikan Nasional Republik Indonesia,Permen_Dik,MinisterialRegulation,Berita_Negara
PERATURAN BADAN PENGAWAS OBAT DAN MAKANAN,Peraturan Badan Pengawas Obat Dan Makanan Republik Indonesia,Peraturan_BPOM,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KOTA KUPANG,Peraturan Daerah Kota Kupang,Perkot_Kupang,MunicipalityRegulation,Lembaran_Daerah_Kota_Kupang
PERATURAN DAERAH KABUPATEN KUTAI TIMUR,Peraturan Daerah Kabupaten Kutai Timur,Perkab_Kutai_Timur,RegencyRegulation,Lembaran_Daerah_Kabupaten_Kutai_Timur
PERATURAN MENTERI NEGARA PERUMAHAN RAKYAT,Peraturan Menteri Perumahan Rakyat Republik Indonesia,Permen_PR,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI DALAM NEGERIREPUBLIK INDONESIA,Peraturan Menteri Dalam Negeri Republik Indonesia,Permen_Dagri,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BARRU,Peraturan Daerah Kabupaten Barru,Perkab_Barru,RegencyRegulation,Lembaran_Daerah_Kabupaten_Barru
PERATURAN MENTERI KOORDINATOR BIDANG KEMARITIMAN SELAKU KETUA DEWAN PENGARAH BADAN OTORITA PENGELOLA KAWASAN PARIWISATA DANAU TOBA,Peraturan Menteri Koordinator Bidang Kemaritiman Republik Indonesia,Permenko_Maritim,MinisterialRegulation,Berita_Negara
PERATURANMENTERI PEMUDA DAN OLAHRAGA REPUBLIK INDONESIA,Peraturan Menteri Pemuda Dan Olahraga Republik Indonesia,Permen_Pora,MinisterialRegulation,Berita_Negara
PERATURAN KEPALA LEMBAGA KEBIJAKAN PENGADAAN BARANG/ JASA PEMERINTAH REPUBLIK INDONESIA,Peraturan Lembaga Kebijakan Pengadaan Barang/jasa Pemerintah Republik Indonesia,Peraturan_LKPP,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN LUMAJANG,Peraturan Daerah Kabupaten Lumajang,Perkab_Lumajang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Lumajang
PERATURAN BADAN KEAMANAN LAUT REPUBLIK INDONESIA,Peraturan Badan Keamanan Laut Republik Indonesia,Peraturan_Bakamla,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN SUKABUMI,Peraturan Daerah Kabupaten Sukabumi,Perkab_Sukabumi,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sukabumi
PERATURAN KEPALA BADAN KEAMANAN LAUT REPUBLIK INDONESIA,Peraturan Badan Keamanan Laut Republik Indonesia,Peraturan_Bakamla,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI JAMBI,Peraturan Daerah Provinsi Jambi,Perprov_Jambi,ProvincialRegulation,Lembaran_Daerah_Provinsi_Jambi
PERATURAN WALI KOTA CIREBON,Peraturan Walikota  Cirebon,Perwali_Cirebon,MayorRegulation,Berita_Daerah_Kota_Cirebon
PERATURANMENTERI PENDIDIKAN DAN KEBUDAYAAN REPUBLIK INDONESIA,Peraturan Menteri Pendidikan Dan Kebudayaan Republik Indonesia,Permen_Dikbud,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN AGAM,Peraturan Daerah Kabupaten Agam,Perkab_Agam,RegencyRegulation,Lembaran_Daerah_Kabupaten_Agam
PERATURAN MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA,Peraturan Menteri Hukum Dan Hak Asasi Manusia Republik Indonesia,Permen_Humham,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KOTA CIREBON,Peraturan Daerah Kota Cirebon,Perkot_Cirebon,MunicipalityRegulation,Lembaran_Daerah_Kota_Cirebon
PERATURAN MENTERI PERTAHANAN REPUBLIK IDONESIA,Peraturan Menteri Pertahanan Republik Indonesia,Permen_Han,MinisterialRegulation,Berita_Negara
PERATURAN KEPOLISIAN NEGARA REPUBLIK INDONESIA,Peraturan Kepolisian Negara Republik Indonesia,Peraturan_Polri,AgencyRegulation,Berita_Negara
PERATURAN MENTERI KOORDINATOR BIDANG PEREKONOMIAN SELAKU KETUA KOMITE PERCEPATAN PENYEDIAAN INFRASTRUKTUR PRIORITAS,Peraturan Menteri Koordinator Bidang Perekonomian Republik Indonesia,Permenko_Perekonomian,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KOTA JAMBI,Peraturan Daerah Kota Jambi,Perkot_Jambi,MunicipalityRegulation,Lembaran_Daerah_Kota_Jambi
PERATURAN DAERAH PROVINSI KALIMANTAN TIMUR,Peraturan Daerah Provinsi Kalimantan Timur,Perprov_Kaltim,ProvincialRegulation,Lembaran_Daerah_Provinsi_Kalimantan_Timur
PERATURAN DAERAH KABUPATEN POSO,Peraturan Daerah Kabupaten Poso,Perkab_Poso,RegencyRegulation,Lembaran_Daerah_Kabupaten_Poso
PERATURAN DAERAH KOTA TEBING TINGGI,Peraturan Daerah Kota Tebing Tinggi,Perkot_Tebing_Tinggi,MunicipalityRegulation,Lembaran_Daerah_Kota_Tebing_Tinggi
PERATURAN DAERAH PROVINSI NUSA TENGGARA BARAT,Peraturan Daerah Provinsi Nusa Tenggara Barat,Perprov_NTB,ProvincialRegulation,Lembaran_Daerah_Provinsi_Nusa_Tenggara_Barat
PERATURAN DAERAH KOTA MEDAN,Peraturan Daerah Kota Medan,Perkot_Medan,MunicipalityRegulation,Lembaran_Daerah_Kota_Medan
PERATURAN WALI KOTA BOGOR,Peraturan Walikota  Bogor,Perwali_Bogor,MayorRegulation,Berita_Daerah_Kota_Bogor
PERATURAN DAERAH KABUPATEN BIMA,Peraturan Daerah Kabupaten Bima,Perkab_Bima,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bima
PERATURAN MENTERI PERUMAHAN RAKYAT,Peraturan Menteri Perumahan Rakyat Republik Indonesia,Permen_PR,MinisterialRegulation,Berita_Negara
PERATURAN LEMBAGA PENJAMIN SIMPANAN REPUBLIK INDONESIA,Peraturan Lembaga Penjamin Simpanan Republik Indonesia,Peraturan_LPS,AgencyRegulation,Berita_Negara
PERATURAN MENTERI KOMUNIKASI DAN INFORMATIKA,Peraturan Menteri Komunikasi Dan Informatika Republik Indonesia,Permen_Kominfo,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN SUMBA BARAT,Peraturan Daerah Kabupaten Sumba Barat,Perkab_Sumba_Barat,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sumba_Barat
PERATURAN MENTERI ENERGI DAN SUMBER DAYA MINERAL REPUBLIK INDONESIA,Peraturan Menteri Energi Dan Sumber Daya Mineral Republik Indonesia,Permen_ESDM,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN ALOR,Peraturan Daerah Kabupaten Alor,Perkab_Alor,RegencyRegulation,Lembaran_Daerah_Kabupaten_Alor
PERATURAN KEPALA BADAN NARKOTIKA NASIONAL REPUBLIK INDONESIA,Peraturan Badan Narkotika Nasional Republik Indonesia,Peraturan_BNN,AgencyRegulation,Berita_Negara
PERATURAN PEMERINTAH REPUBLIK INDONESIA NOMOR TAHUN TENTANG PERUBAHAN ATAS PERATURAN PEMERINTAH,Perubahan Peraturan Pemerintah Republik Indonesia,Perubahan_PP,GovernmentRegulation,Lembaran_Negara
PERATURAN MENTERI KOORDINATOR BIDANG PEREKONOMIAN REPUBLIK INDONESIA,Peraturan Menteri Koordinator Bidang Perekonomian Republik Indonesia,Permenko_Perekonomian,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KOTA TANGERANG,Peraturan Daerah Kota Tangerang,Perkot_Tangerang,MunicipalityRegulation,Lembaran_Daerah_Kota_Tangerang
PERATURAN DAERAH KABUPATEN SIGI,Peraturan Daerah Kabupaten Sigi,Perkab_Sigi,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sigi
PERATURAN MENTERI PENDIDIKAN DAN KEBUDAYAAN REPUBLIK INDONESIA,Peraturan Menteri Pendidikan Dan Kebudayaan Republik Indonesia,Permen_Dikbud,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI KOORDINATOR BIDANG KEMARITIMAN REPUBLIK INDONESIA,Peraturan Menteri Koordinator Bidang Kemaritiman Republik Indonesia,Permenko_Maritim,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN PURWOREJO,Peraturan Daerah Kabupaten Purworejo,Perkab_Purworejo,RegencyRegulation,Lembaran_Daerah_Kabupaten_Purworejo
PERATURAN KETUA KOMISI PEMILIHAN UMUM,Peraturan Komisi Pemilihan Umum Republik Indonesia,Peraturan_KPU,AgencyRegulation,Berita_Negara
PERATURAN MENTERI NEGARA PERENCANAAN PEMBANGUNAN NASIONAL/KEPALA BADAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA,Peraturan Menteri Perencanaan Pembangunan Nasional/ Kepala Badan Perencanaan Pembangunan Nasional Republik Indonesia,Permen_Bappenas,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA SELAKU KETUA KELOMPOK KERJA PENINGKATAN EKSPOR,Peraturan Menteri Perdagangan Republik Indonesia,Permen_Dag,MinisterialRegulation,Berita_Negara
PERATURAN KOMISI PEMBERANTASAN KORUPSI REPUBLIK INDONESIA,Peraturan Komisi Pemberantasan Korupsi Republik Indonesia,Peraturan_KPK,AgencyRegulation,Berita_Negara
"PERATURAN MENTERI RISET, TEKNOLOGI, DAN PENDIDIKAN TINGGI REPUBLIK INDONESIA",Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia,Permen_Ristekdikti,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI HUKUM DAN HAK ASASI MANUSIA,Peraturan Menteri Hukum Dan Hak Asasi Manusia Republik Indonesia,Permen_Humham,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN TULANG BAWANG,Peraturan Daerah Kabupaten Tulang Bawang,Perkab_Tulang_Bawang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tulang_Bawang
PERATURAN DAERAH KABUPATEN MADIUN,Peraturan Daerah Kabupaten Madiun,Perkab_Madiun,RegencyRegulation,Lembaran_Daerah_Kabupaten_Madiun
PERATURAN DAERAH KABUPATEN TANAH BUMBU,Peraturan Daerah Kabupaten Tanah Bumbu,Perkab_Tanah_Bumbu,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tanah_Bumbu
PERATURAN MAHKAMAH AGUNG REPUBLIK INDONESIA,Peraturan Mahkamah Agung Republik Indonesia,Peraturan_MA,SupremeCourtRegulation,Berita_Negara
PERATURAN MENTERI SOSIAL REPUBLIK INDONESIA,Peraturan Menteri Sosial Republik Indonesia,Permen_Sos,MinisterialRegulation,Berita_Negara
PERATURAN BADAN INFORMASI GEOSPASIAL REPUBLIK INDONESIA,Peraturan Badan Informasi Geospasial Republik Indonesia,Peraturan_BIG,AgencyRegulation,Berita_Negara
PERATURAN BADAN NASIONAL PENGELOLA PERBATASAN REPUBLIK INDONESIA,Peraturan Badan Nasional Pengelola Perbatasan Republik Indonesia,Peraturan_BNPP,AgencyRegulation,Berita_Negara
PERATURAN DAEMH PROVINSI GORONTALO,Peraturan Daerah Provinsi Gorontalo,Perprov_Gorontalo,ProvincialRegulation,Lembaran_Daerah_Provinsi_Gorontalo
PERATURAN KONSIL KEDOKTERAN INDONESIA REPUBLIK INDONESIA,Peraturan Konsil Kedokteran Indonesia Republik Indonesia,Peraturan_KKI,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI PAPUA BARAT,Peraturan Daerah Provinsi Papua Barat,Perprov_Papua_Barat,ProvincialRegulation,Lembaran_Daerah_Provinsi_Papua_Barat
PERATURAN KEPALA BADAN TENAGA NUKLIR NASIONAL REPUBLIK INDONESIA,Peraturan Badan Tenaga Nuklir Nasional Republik Indonesia,Peraturan_Batan,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABI PATEN DAERAII TTNGKAT TI PATI,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN DEWAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,Peraturan Dewan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Peraturan_PBBATAM,AgencyRegulation,Berita_Negara
PERATURAN LEMBAGA PENERBANGAN DAN ANTARIKSA NASIONAL REPUBLIK INDONESIA,Peraturan Lembaga Penerbangan Dan Antariksa Nasional Republik Indonesia,Peraturan_Lapan,AgencyRegulation,Berita_Negara
PERATURAN SEKRETARIS KABINET REPUBLIK INDONESIA,Peraturan Sekretaris Kabinet Republik Indonesia,Peraturan_Setkab,Legislation,Lembaran_Negara
PERATURAN DAERAH KABUPATEN WAKATOBI,Peraturan Daerah Kabupaten Wakatobi,Perkab_Wakatobi,RegencyRegulation,Lembaran_Daerah_Kabupaten_Wakatobi
PERATURAN DAERAH KABUPATEN BOGOR,Peraturan Daerah Kabupaten Bogor,Perkab_Bogor,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bogor
UNDANG-UNDANG,Undang-Undang Republik Indonesia,UU,Act,Lembaran_Negara
PERATURAN DAERAH KOTA CIMAHI,Peraturan Daerah Kota Cimahi,Perkot_Cimahi,MunicipalityRegulation,Lembaran_Daerah_Kota_Cimahi
PERATURAN WALI KOTA BANDUNG,Peraturan Walikota  Bandung,Perwali_Bandung,MayorRegulation,Berita_Daerah_Kota_Bandung
PERATURANMENTERI KELAUTAN DAN PERIKANAN REPUBLIK INDONESIA,Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia,Permen_KP,MinisterialRegulation,Berita_Negara
PERATURANMENTERI NEGARA KOPERASI DAN USAHA KECIL DAN MENENGAH REPUBLIK INDONESIA,Peraturan Menteri Koperasi Dan Usaha Kecil Dan Menengah Republik Indonesia,Permen_Kopukm,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KOTA DEPOK,Peraturan Daerah Kota Depok,Perkot_Depok,MunicipalityRegulation,Lembaran_Daerah_Kota_Depok
PERATURAN DAERAH KOTA DENPASAR,Peraturan Daerah Kota Denpasar,Perkot_Denpasar,MunicipalityRegulation,Lembaran_Daerah_Kota_Denpasar
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,Peraturan Menteri Dalam Negeri Republik Indonesia,Permen_Dagri,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH TENTANG RETRIBUSI IZIN USAHA PERIKANAN DINAS KELAUTAN DAN PERIKANAN KABUPATEN TANGGAMUS PEMERINTAH KABUPATEN TANGGAMUS PERATURAN DAERAH KABUPATEN TANGGAMUS,Peraturan Daerah Kabupaten Tanggamus,Perkab_Tanggamus,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tanggamus
PERATURAN KEPALA BADAN KOORDINASI PENANANAMAN MODAL REPUBLIK INDONESIA,Peraturan Badan Koordinasi Penanaman Modal Republik Indonesia,Peraturan_BKPM,AgencyRegulation,Berita_Negara
PERATURAN MENTERI PERINDUSTRIAN,Peraturan Menteri Perindustrian Republik Indonesia,Permen_Perin,MinisterialRegulation,Berita_Negara
PERATURAN DAERAHKABUPATEN SABU RAIJUA,Peraturan Daerah Kabupaten Sabu Raijua,Perkab_Sabu_Raijua,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sabu_Raijua
PERATURAN OTORITAS JASA KEUANGAN,Peraturan Otoritas Jasa Keuangan Republik Indonesia,Peraturan_OJK,AgencyRegulation,Lembaran_Negara
PERATURAN KOMISI NASIONAL HAK ASASI MANUSIA,Peraturan Komisi Nasional Hak Asasi Manusia Republik Indonesia,Peraturan_Komnas_HAM,AgencyRegulation,Berita_Negara
PERATURAN BADAN AMIL ZAKAT NASIONAL,Peraturan Badan Amil Zakat Nasional Republik Indonesia,Peraturan_Baznas,AgencyRegulation,Berita_Negara
PERATURAN KEPALA BADAN NASIONAL PENGELOLA PERBATASAN REPUBLIK INDONESIA,Peraturan Badan Nasional Pengelola Perbatasan Republik Indonesia,Peraturan_BNPP,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KOTA BATU,Peraturan Daerah Kota Batu,Perkot_Batu,MunicipalityRegulation,Lembaran_Daerah_Kota_Batu
PERATURAN DAERAH KABUPATEN DOMPU,Peraturan Daerah Kabupaten Dompu,Perkab_Dompu,RegencyRegulation,Lembaran_Daerah_Kabupaten_Dompu
KEPUTUSAN KEPALA BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Keputusan Badan Pengawasan Keuangan Dan Pembangunan Republik Indonesia,Keputusan_BPK,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI RIAU,Peraturan Daerah Provinsi Riau,Perprov_Riau,ProvincialRegulation,Lembaran_Daerah_Provinsi_Riau
PERATURAN DAERAH INDRAGIRI HILIR,Peraturan Daerah Kabupaten Indragiri Hilir,Perkab_Indragiri_Hilir,RegencyRegulation,Lembaran_Daerah_Kabupaten_Indragiri_Hilir
PERATURAN MENTERI DALAM NEGERI,Peraturan Menteri Dalam Negeri Republik Indonesia,Permen_Dagri,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN TANAH LAUT,Peraturan Daerah Kabupaten Tanah Laut,Perkab_Tanah_Laut,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tanah_Laut
PERATURAN BERSAMA KEPALA PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA DAN KEPALA BADAN KEPEGAWAIAN NEGARA,Peraturan Bersama Kepala Perpustakaan Nasional Republik Indonesia Dan Kepala Badan Kepegawaian Negara,PB_Perpusnas_BKN,JointRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN PATI,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN MENTERI PARIWISATADAN EKONOMI KREATIF REPUBLIK INDONESIA,Peraturan Menteri Pariwisata Dan Ekonomi Kreatif Republik Indonesia,Permen_Parekraf,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI DAERAH ISTIMEWA YOGYAKARTA,Peraturan Daerah Provinsi Daerah Istimewa Yogyakarta,Perprov_Yogya,ProvincialRegulation,Lembaran_Daerah_Provinsi_DI_Yogyakarta
PERATURAN DAERAH KABUPATEN KUNINGAN,Peraturan Daerah Kabupaten Kuningan,Perkab_Kuningan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Kuningan
PERATURAN KEPALA BADAN KOORDINASI PENANAMAN MODAL,Peraturan Badan Koordinasi Penanaman Modal Republik Indonesia,Peraturan_BKPM,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BANGKALAN,Peraturan Daerah Kabupaten Bangkalan,Perkab_Bangkalan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bangkalan
PERATURAN KEPALA BADAN KEPEGAWAIAN NEGARA,Peraturan Badan Kepegawaian Negara Republik Indonesia,Peraturan_BKN,AgencyRegulation,Berita_Negara
PERATURAN MENTERI NEGARA PERUMAHAN RAKYAT REPUBLIK INDONESIA,Peraturan Menteri Perumahan Rakyat Republik Indonesia,Permen_PR,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI NEGARA RISET DAN TEKNOLOGI REPUBLIK INDONESIA,Peraturan Menteri Riset Dan Teknologi Republik Indonesia,Permen_Ristek,MinisterialRegulation,Berita_Negara
PERATURAN KEPALA BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN REPUBLIK INDONESIA,Peraturan Badan Pengawasan Keuangan Dan Pembangunan Republik Indonesia,Peraturan_BPKP,AgencyRegulation,Berita_Negara
