type,formalTyping,code,type1,type2
PERATURAN DAERAH PROVINSI NUSA TENGGARA TIMUR,Peraturan Daerah Provinsi Nusa Tenggara Timur,Perprov_NTT,ProvincialRegulation,Lembaran_Daerah_Provinsi_Nusa_Tenggara_Timur
PERATURAN DAERAH KABUPATEN BLORA,Peraturan Daerah Kabupaten Blora,Perkab_Blora,RegencyRegulation,Lembaran_Daerah_Kabupaten_Blora
PERATURAN DAERAH KABUPATEN SUMBAWA,Peraturan Daerah Kabupaten Sumbawa,Perkab_Sumbawa,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sumbawa
PERATURAN DAERAH KABUPATEN SLEMAN,Peraturan Daerah Kabupaten Sleman,Perkab_Sleman,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sleman
PERATURAN PEMERINTAH REPUBLIK INDOENSIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN DAERAH KABUAPTEN GARUT,Peraturan Daerah Kabupaten Garut,Perkab_Garut,RegencyRegulation,Lembaran_Daerah_Kabupaten_Garut
PERATURAN LEMBAGA ILMU PENGETAHUAN INDONESIA,Peraturan Lembaga Ilmu Pengetahuan Indonesia Republik Indonesia,Peraturan_LIPI,AgencyRegulation,Berita_Negara
PERATURAN KOMISI PEMILIHAN UMUM,Peraturan Komisi Pemilihan Umum Republik Indonesia,Peraturan_KPU,AgencyRegulation,Berita_Negara
PERATURANMENTERIKEHUTANAN,Peraturan Menteri Kehutanan Republik Indonesia,Permen_Hut,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BANYUWANGI,Peraturan Daerah Kabupaten Banyuwangi,Perkab_Banyuwangi,RegencyRegulation,Lembaran_Daerah_Kabupaten_Banyuwangi
PERATURAN DAERAH KABUPATEN BANGKA TENGAH PERUBAHAN KEDUA ATAS PERATURAN DAERAH,Peraturan Daerah Kabupatenperubahan 2  Bangka Tengah,Perubahan_2_Perkab_Bangka_Tengah,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bangka_Tengah
