object,uri
Makassar,wd:Q33643
Makassar,wd:Q14634
Malang,wd:Q13440552
Malang,wd:Q11445
Malang,wd:Q62020357
Mamuju,wd:Q1070920
Mamuju,wd:Q6745998
Manado,wd:Q15847
Mangupura,wd:Q6749189
Manna,wd:Q409872
Manna,wd:Q241156
Manokwari,wd:Q26748
Manokwari,wd:Q848672
Mardiyanto,wd:Q3502316
Mari Elka Pangestu,wd:Q3502322
Martapura,wd:Q2358819
Martapura,wd:Q6774209
Martin Luther,wd:Q9554
Mataram,wd:Q14126
Mataram,wd:Q292392
Mataram,wd:Q402145
Mataram,wd:Q402580
Medan,wd:Q5972
Medan,wd:Q1173931
Megawati Soekarnoputri,wd:Q76179
Mempawah,wd:Q14163
Menteri Badan Usaha Milik Negara Republik Indonesia,wd:Q12479862
Menteri Dalam Negeri Republik Indonesia,wd:Q12479867
Menteri Kehakiman,wd:Q6628659
Menteri Keuangan,wd:Q6866137
Menteri Keuangan Republik Indonesia,wd:Q3212427
Menteri Pembangunan Daerah Tertinggal Republik Indonesia,wd:Q12479874
Menteri Perhubungan Republik Indonesia,wd:Q28723650
Menteri Pertahanan,wd:Q3533315
Menteri Pertahanan,wd:Q2367317
Menteri Pertahanan,wd:Q1153972
Meureudu,wd:Q2831229
Moch,wd:Q1667554
Mohammad Nuh,wd:Q12498770
Muara Bulian,wd:Q6930777
Muara Sabak,wd:Q8063424
Muhadjir Effendy,wd:Q26236935
Muhaimin Iskandar,wd:Q12499327
Muhammad,wd:Q19693229
Muhammad,wd:Q9458
Muhammad,wd:Q230261
Muhammad Hatta Ali,wd:Q12485443
Muhammad Yusuf,wd:Q4535417
Muhammad Yusuf,wd:Q10540468
Mukomuko,wd:Q8033
Muladi,wd:Q49250207
Mulyono,wd:Q3318231
Mulyono,wd:Q17410805
Nanga Pinoh,wd:Q8146191
Negara,wd:Q16877895
Negara,wd:Q2657710
Ngawi,wd:Q7022207
Ngawi,wd:Q11108
Nunukan,wd:Q14481
Nurhayanti,wd:Q19752311
Padang,wd:Q451477
Padang,wd:Q13324
Padang,wd:Q7253
Palangka Raya,wd:Q14409
Palembang,wd:Q8131
Palembang,wd:Q12502257
Palu,wd:Q359828
Palu,wd:Q15826
Pasangkayu,wd:Q15350
Pasuruan,wd:Q11449
Pasuruan,wd:Q11115
Pati,wd:Q41534
Pati,wd:Q359544
Pati,wd:Q4135102
Pati,wd:Q10622
Patrialis Akbar,wd:Q5247076
Payakumbuh,wd:Q7261
Pekalongan,wd:Q11026
Pekalongan,wd:Q10623
Pekanbaru,wd:Q7786
Pelaksana Tugas,wd:Q4676846
Pemalang,wd:Q10624
Penajam,wd:Q12504448
Perry Warjiyo,wd:Q51417348
Pertamina,wd:Q1641044
Polewali,wd:Q3504630
Polewali Mandar,wd:Q15353
Ponorogo,wd:Q11118
Pontianak,wd:Q397822
Pontianak,wd:Q14168
Poso,wd:Q12492354
Poso,wd:Q15817
Prabowo Subianto,wd:Q2107268
Pratikno,wd:Q12506406
Presiden Republik Indonesia,wd:Q11755916
Probolinggo,wd:Q11450
Probolinggo,wd:Q11121
Provinsi Kalimantan Barat,wd:Q3916
Puan Maharani,wd:Q15646541
Purnomo Yusgiantoro,wd:Q4251398
Purwakarta,wd:Q10378
Purwakarta,wd:Q1199917
Purworejo,wd:Q3504647
Purworejo,wd:Q10674
Putussibau,wd:Q3175947
Putussibau,wd:Q485762
Ramli,wd:Q7289721
Ratu Atut Chosiyah,wd:Q7296050
Rembang,wd:Q10684
Republik Indonesia,wd:Q252
Republik Indonesia,wd:Q497163
Rizal Ramli,wd:Q12508773
Roy,wd:Q2170752
Ryamizard Ryacudu,wd:Q7419814
Sabang,wd:Q7395886
Sabang,wd:Q5787
Sabas,wd:Q316440
Sabas,wd:Q1692714
Salak,wd:Q409238
Salak,wd:Q5264978
Salatiga,wd:Q11021
Saleh,wd:Q22155035
Saleh Husin,wd:Q19745898
Samarinda,wd:Q14499
Sangatta,wd:Q10989520
Sanggau,wd:Q14165
Sawahlunto,wd:Q7263
Seba,wd:Q4049229
Seba,wd:Q18331602
Seba,wd:Q7442316
Sekadau,wd:Q14166
Sekretaris Negara,wd:Q736559
Selong,wd:Q2288639
Semarang,wd:Q11025
Semarang,wd:Q10687
Sentani,wd:Q1199250
Serang,wd:Q10126
Serang,wd:Q3955770
Serang,wd:Q11215409
Serang,wd:Q10122
Serang,wd:Q303486
Siak Sri Indrapura,wd:Q2988765
Sigli,wd:Q38892258
Sigli,wd:Q3057594
Simon Petrus,wd:Q33923
Sinabang,wd:Q646700
Singaraja,wd:Q1013537
Sinjai,wd:Q14622
Siti Nurbaya,wd:Q4186785
Slawi,wd:Q4020440
Sleman,wd:Q11480
Sleman,wd:Q2343135
Soeharto,wd:Q44819
Soekarno,wd:Q76127
Soreang,wd:Q212419
Sorong,wd:Q29621804
Sorong,wd:Q26837
Sorong,wd:Q26792
